High School Percentage,Bachelors Percentage,Placed/Not Placed
91,58,Placed
78.33,77.48,Placed
68,64,Placed
52,52,Not Placed
73.6,73.3,Placed
49.8,67.25,Not Placed
49.2,79,Not Placed
64,66,Placed
79,72,Placed
70,61,Not Placed
61,60,Placed
68.4,78.3,Placed
55,65,Not Placed
87,59,Placed
47,50,Not Placed
75,69,Placed
66.2,65.6,Placed
67,64,Not Placed
66,64,Not Placed
67,70,Placed
65,66,Placed
76,85,Placed
60.8,72.23,Placed
60,64.74,Placed
97.7,78.86,Placed
54.6,50.2,Not Placed
79,66,Placed
67,66,Placed
76.5,67.5,Placed
67,58,Not Placed
73.5,73,Placed
53,65,Not Placed
81,66.4,Placed
65,81,Placed
51,52,Not Placed
78,72,Placed
44,57,Not Placed
76,65.6,Placed
58,66,Placed
68,64,Placed
77,80,Placed
63.16,65,Not Placed
39,65,Not Placed
87,68,Placed
73,81,Placed
64,72,Not Placed
71.98,65.6,Not Placed
60,57,Placed
62,68,Placed
37,52,Not Placed
73.2,68.4,Placed
61.12,56.2,Not Placed
45.83,53,Not Placed
70,72,Placed
60,69,Placed
66.6,65,Placed
71.4,61.4,Placed
76,74,Placed
62,68,Placed
65.58,72.11,Placed
70,72,Placed
73.4,66.89,Placed
64.2,67.4,Placed
70,64,Not Placed
73,75,Placed
47,57,Not Placed
74,66,Placed
78.5,67,Placed
47,72.7,Not Placed
73,66,Placed
61,62,Placed
70.29,71,Placed
67,78,Placed
83.83,71.72,Placed
64.8,70.2,Placed
62,77.5,Not Placed
70.4,71.93,Placed
80,65,Placed
90.9,64.5,Placed
62,66,Not Placed
62,69,Placed
63,67,Placed
67,74,Not Placed
79,68,Placed
63,70,Placed
89.83,77.2,Placed
63,64,Placed
51,60,Not Placed
62,73,Placed
75,69,Placed
90,82,Placed
57,50.8,Not Placed
69,66,Placed
62,54,Not Placed
62,64,Placed
78,65,Placed
70,76,Placed
62.5,61,Not Placed
73,65,Placed
82,63,Not Placed
57,58,Not Placed
72,68,Placed
61,68,Placed
78,73,Placed
63,65,Placed
64,58,Not Placed
50,54,Not Placed
90,83,Placed
82,69,Placed
63,65,Not Placed
70,72,Placed
54,61,Not Placed
61,61,Placed
79,67,Placed
68,69,Placed
63,66,Placed
72.8,66.6,Placed
75,73,Placed
80,78,Placed
68.4,64.6,Placed
40,59,Not Placed
67,69.6,Placed
66.8,69.3,Placed
59,73,Placed
71,64.33,Placed
73,73,Placed
61,75.5,Placed
60,69,Placed
73.4,77.72,Placed
89.7,66,Placed
65,60,Not Placed
57,62,Placed
68,64,Placed
64,77,Placed
92,72,Placed
56,69,Placed
59,64,Not Placed
63,72,Placed
64,73,Placed
70,59,Placed
64.8,69.5,Placed
64,60,Not Placed
60,73.43,Placed
64.89,70.67,Placed
50,61,Not Placed
65.66,71.25,Placed
63,66,Placed
74,65,Placed
86,56,Placed
58,55,Not Placed
58.66,58,Placed
65,75,Placed
60.5,84,Placed
59,65,Placed
63,60,Placed
74.66,59.9,Not Placed
69.4,65,Placed
62.5,60.9,Placed
63,64,Not Placed
49,58,Not Placed
74,65,Placed
51,57.5,Not Placed
87.6,77.25,Placed
67,64,Placed
72.5,63.35,Placed
78.33,74,Not Placed
62,60,Placed
62,67,Not Placed
51,58,Not Placed
42.16,61.26,Not Placed
67.2,60,Not Placed
80,72,Placed
58,56,Placed
52,55,Not Placed
50.83,64.27,Placed
62,65,Not Placed
60,56,Placed
97,79,Placed
56,68,Placed
64,64.2,Not Placed
71.5,62.8,Placed
60.33,64.21,Not Placed
65,57,Not Placed
77,69,Placed
62.83,59.79,Not Placed
72,78,Placed
64,61,Not Placed
65.5,67,Placed
47,54.38,Not Placed
77.6,69.2,Not Placed
70.2,61,Not Placed
61,72,Placed
61.4,64.8,Placed
63,56,Placed
55,56.3,Not Placed
76,72,Placed
63,77.5,Placed
53,91,Placed
70,65,Not Placed
65,57,Placed
60,65,Placed
63,58,Not Placed
63,66,Placed
61.33,56.87,Placed
73,73,Placed
62,65,Placed
42,60,Not Placed
78,61,Placed
60,65,Not Placed
72,65,Placed
82,77.6,Placed
60,72,Placed
67,73,Placed
66,58,Placed
58,53,Not Placed
